course_number,title,instructor,type,credit_hrs,days,times,reserved_majors,reserved_majors_limit,enrolled,enrolled_limit
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,W,4:00PM-4:50PM,0,0,20,20
CSE 115,Introduction to Computer Science I,Matthew Hertz,REC,4.00,W,5:00PM-5:50PM,0,0,20,20
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,F,8:00AM-9:50AM,0,0,12,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,F,10:00AM-11:50AM,0,0,28,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,F,12:00PM-1:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,F,2:00PM-3:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,F,4:00PM-5:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,F,6:00PM-7:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,M,8:00AM-9:50AM,0,0,10,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,M,10:00AM-11:50AM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,M,12:00PM-1:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,M,2:00PM-3:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,M,6:00PM-7:50PM,0,0,26,28
CSE 116,Introduction to Computer Science II,Paul Dickson,LAB,4.00,M,8:00PM-9:50PM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,R,10:00AM-11:50AM,0,0,26,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,R,12:00PM-1:50PM,0,0,27,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,T,10:00AM-11:50AM,0,0,22,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,W,8:00AM-9:50AM,0,0,28,28
CSE 116,Introduction to Computer Science II,Jesse L. Hartloff,LAB,4.00,W,10:00AM-11:50AM,0,0,25,28
